UCO	15	1,1,1,2	1
COMILLAS A	13	1,2,1,1	1
ITESM CEM C	13	2,0,1,2	1
ANTIOQUIA B	12	0,2,2,1	1
FINANZAS	12	1,2,1,1	1
AMCUDE B	11	1,1,1,2	1
BABEL - UGR	11	2,1,0,2	1
COMPLUTENSE	11	1,2,1,1	1
LIBRE A	11	1,2,1,1	1
LOYOLA	11	2,1,1,1	1
PUCC A	11	1,1,2,1	1
SICODI	11	0,2,2,1	1
UNAL A	11	2,0,1,2	1
CANOVAS A	10	1,1,2,1	1
CUCEA	10	2,1,1,1	1
ITESM CEM B	10	0,1,2,2	1
JAVERIANA A	10	2,0,1,2	1
MURCIA	10	1,2,1,1	1
ROSARIO D	10	1,0,2,2	1
UAM	10	1,2,0,2	1
UNIANDES B	10	2,1,1,1	1
UNIANDES F	10	1,1,1,2	1
UNMSM C	10	1,2,2,0	1
VITORIA A	10	1,1,1,2	1
CANOVAS B	9	0,2,2,1	1
COMILLAS B	9	1,2,1,1	1
CUCSH C	9	2,1,1,1	1
ITAM B	9	0,1,2,2	1
ITESM CEM A	9	2,1,2,0	1
PUCP A	9	2,1,2,0	1
PUCP D	9	0,1,2,2	1
ROSARIO A	9	1,1,2,1	1
ROSARIO C	9	0,1,2,2	1
ROSARIO F	9	2,1,1,1	1
ROSARIO H	9	1,2,0,2	1
UFM B	9	2,2,1,0	1
UNIANDES A	9	1,2,1,1	1
UNIANDES C	9	1,2,2,0	1
VITORIA B	9	1,0,2,2	1
VITORIA C	9	0,2,2,1	1
ANTIOQUIA C	8	2,1,1,1	1
OCCASSIO A	8	2,0,2,1	1
PUCP B	8	2,2,0,1	1
ROSARIO B	8	2,1,2,0	1
ROSARIO E	8	1,2,0,2	1
UCAM	8	1,2,1,1	1
UNAL B	8	0,2,1,2	1
UNAL C	8	2,0,1,2	1
UNAL D	8	1,1,2,1	1
UP	8	2,0,2,1	1
VIRTUAL	8	2,1,0,2	1
CORNELL B	7	1,0,2,2	1
CUCSH A	7	1,1,1,2	1
CUCSH B	7	1,2,2,0	1
ESAN	7	1,2,1,1	1
EXTERNADO	7	1,2,1,1	1
ITAM C	7	1,2,1,1	1
LIBRE B	7	2,2,0,1	1
LIBRE C	7	3,0,1,1	1
MANIZALES	7	2,1,1,1	1
PUCMM	7	1,2,1,1	1
PUCP C	7	1,2,0,2	1
UNIANDES G	7	2,0,2,1	1
UNMSM B	7	1,1,1,2	1
UPB A	7	1,2,2,0	1
USFQ A	7	1,2,1,1	1
USFQ B	7	2,0,2,1	1
USMA D	7	1,1,1,2	1
USMA F	7	3,1,0,1	1
DENVER	6	0,2,2,1	1
ITAM A	6	0,1,2,2	1
ITESM Toluca C	6	2,1,0,2	1
JAVERIANA B	6	1,2,1,1	1
ROSARIO G	6	1,2,1,1	1
UABC	6	1,1,2,1	1
UCR	6	1,0,2,2	1
UCV	6	1,0,2,2	1
UMCE A	6	2,2,0,1	1
UNIANDES D	6	1,2,1,1	1
UNIANDES E	6	1,1,2,1	1
UPB B	6	2,2,1,0	1
USAC	6	0,2,1,2	1
USMA A	6	1,2,1,1	1
USMA E	6	2,1,2,0	1
UVG	6	2,1,1,1	1
ANTIOQUIA A	5	1,0,2,2	1
CALPOLY	5	0,1,2,2	1
CORNELL A	5	0,2,1,2	1
OCCASIO B	5	2,1,1,1	1
PANAMA B	5	1,0,2,2	1
PANAMA C	5	2,1,1,1	1
SEMS	5	2,2,1,0	1
UFM A	5	2,0,1,2	1
ULACIT	5	0,1,3,1	1
UNMSM A	5	1,2,0,2	1
UPES	5	1,1,1,2	1
COLGATE	4	2,1,1,1	1
USFQ C	4	2,0,1,2	1
USMA B	4	2,1,1,1	1
USMA C	4	2,1,1,1	1
ZACATECAS	4	2,2,0,1	1
AMCUDE A	3	1,3,1,0	1
ITESM Toluca A	3	1,2,1,1	1
SWING C	3	0,1,0,1	1
UMCE B	3	1,0,2,2	1
ITESM Toluca B	2	0,2,2,1	1
PANAMA A	2	2,1,1,1	1
SWING A	2	1,1,1,0	0
SWING B	0	0,0,0,0	0
SWING D	0	2,1,1,1	1
