Cambridge A	17	1,2,1,2	1
AKL A	16	1,1,2,2	1
Bates A	15	1,2,1,2	1
Durham A	15	2,1,2,1	1
IIUM B	15	2,2,1,1	1
Oxford B	15	2,1,2,1	1
Oxford C	15	1,1,2,2	1
UT MARA A	15	1,2,1,2	1
Yale A	15	1,2,1,2	1
Cambridge D	14	2,1,1,2	1
Harvard A	14	1,2,1,2	1
Harvard C	14	2,1,1,2	1
QDU A	14	1,1,2,2	1
Tel Aviv A	14	2,2,1,1	1
URDU A	14	1,2,1,2	1
USU A	14	1,2,2,1	1
USU B	14	1,2,2,1	1
USU E	14	1,2,2,1	1
UT Sydney A	14	2,1,1,2	1
Alaska B	13	1,2,2,1	1
Ateneo A	13	1,2,2,1	1
Brandeis A	13	1,1,2,2	1
GUU A	13	2,2,1,1	1
Hart House A	13	1,1,1,3	1
IIUM A	13	2,1,2,1	1
LEIDEN C	13	1,1,2,2	1
LSE A	13	2,1,1,2	1
LSE B	13	1,1,2,2	1
MAD A	13	1,2,2,1	1
Melbourne B	13	1,1,2,2	1
NEU A	13	1,2,1,2	1
NLSIU A	13	2,2,1,1	1
Oxford A	13	1,2,2,1	1
UCD LawSoc A	13	2,1,2,1	1
UCL B	13	2,1,2,1	1
USU D	13	1,1,2,2	1
UWADU A	13	1,2,2,1	1
BINUS B	12	1,2,2,1	1
Bates B	12	2,1,2,1	1
Belgrade B	12	1,2,2,1	1
Brown A	12	1,2,1,2	1
Cambridge B	12	1,1,2,2	1
Cornell B	12	1,2,1,2	1
DRUMS A	12	1,2,2,1	1
Duke A	12	1,2,1,2	1
Edinburgh A	12	1,1,2,2	1
Harvard B	12	1,2,1,2	1
Indonesia C	12	1,1,2,2	1
LEIDEN B	12	1,2,2,1	1
MQU A	12	1,1,2,2	1
Melbourne A	12	1,2,1,2	1
Oxford D	12	2,2,1,1	1
Penn A	12	2,2,1,1	1
St Andrews A	12	1,2,1,2	1
Stanford B	12	2,1,1,2	1
Stanford D	12	1,2,1,2	1
Swarthmore C	12	1,1,1,3	1
TCWM A	12	1,2,2,1	1
UCT A	12	2,1,1,2	1
UNSW B	12	2,1,1,2	1
UQDS A	12	2,1,2,1	1
UQDS C	12	2,1,2,1	1
USU C	12	1,2,1,2	1
UWODS A	12	1,2,1,2	1
VUW A	12	2,1,1,2	1
Vermont A	12	2,1,2,1	1
WDU A	12	1,1,2,2	1
ANU A	11	2,1,2,1	1
Alaska A	11	2,2,1,1	1
Bard A	11	2,2,1,1	1
Belgrade A	11	2,2,1,1	1
CUNY A	11	1,2,1,2	1
Cambridge C	11	1,2,1,2	1
Cornell A	11	2,2,1,1	1
DC Ms A	11	1,2,1,2	1
Duke B	11	1,2,2,1	1
GWU A	11	2,2,1,1	1
HUJI B	11	2,2,1,1	1
Hart House C	11	1,2,2,1	1
Hopkins A	11	2,2,1,1	1
IITB A	11	2,2,1,1	1
IUT A	11	1,2,1,2	1
Indonesia A	11	2,2,1,1	1
KCL A	11	1,1,2,2	1
LSE C	11	1,2,2,1	1
Lund A	11	1,1,2,2	1
MAD C	11	1,2,1,2	1
McGill B	11	1,1,2,2	1
Melbourne C	11	2,1,1,2	1
Otago A	11	2,1,1,2	1
PEP A	11	2,2,1,1	1
SKT A	11	1,2,1,2	1
Stanford A	11	2,2,1,1	1
Swarthmore A	11	1,2,2,1	1
Swarthmore B	11	2,1,2,1	1
TCD Hist A	11	2,1,2,1	1
TCD Phil B	11	1,2,1,2	1
TDS B	11	1,1,2,2	1
Taylor's A	11	2,2,1,1	1
UADS A	11	1,2,2,1	1
UBC B	11	1,2,1,2	1
UCL A	11	1,1,2,2	1
UNSW A	11	1,2,2,1	1
UQDS B	11	2,1,2,1	1
USDV B	11	1,1,2,2	1
Vermont B	11	1,2,1,2	1
Warwick A	11	1,2,1,2	1
Yale D	11	2,1,1,2	1
ANU B	10	2,1,2,1	1
ANU C	10	1,2,2,1	1
ASAFA A	10	1,2,2,1	1
BGU A	10	2,1,1,2	1
BGU B	10	1,2,2,1	1
BINUS A	10	2,2,1,1	1
BPP A	10	2,2,1,1	1
Bates C	10	1,2,2,1	1
Belgrade C	10	2,1,2,1	1
Brandeis B	10	2,1,1,2	1
CDS B	10	1,1,2,2	1
Carleton A	10	2,1,1,2	1
Cornell C	10	1,2,2,1	1
Cornell D	10	1,1,1,3	1
DKWien A	10	1,1,2,2	1
DKWien B	10	2,1,2,1	1
EDS UGM A	10	2,2,1,1	1
EDS UGM B	10	2,1,1,2	1
FDS A	10	2,1,2,1	1
GUU B	10	1,1,2,2	1
HUJI A	10	2,1,2,1	1
Hart House B	10	1,2,2,1	1
Hawaii A	10	2,1,1,2	1
Koç A	10	2,2,1,1	1
LEIDEN A	10	2,1,1,2	1
MAD B	10	1,1,2,2	1
MAD D	10	1,1,2,2	1
MDS A	10	1,2,1,2	1
McGill A	10	1,2,2,1	1
Middlebury A	10	1,2,2,1	1
Morehouse A	10	1,2,1,2	1
Morehouse B	10	1,1,2,2	1
NEU B	10	1,2,1,2	1
NTU A	10	2,1,2,1	1
Princeton A	10	1,2,2,1	1
Princeton B	10	2,1,1,2	1
Princeton C	10	2,1,2,1	1
QDU B	10	2,1,1,2	1
QUTDS A	10	2,1,1,2	1
RRIS A	10	1,3,1,1	1
SWORDS A	10	1,2,1,2	1
Sodales A	10	1,1,2,2	1
St Andrews C	10	2,1,1,2	1
Stanford E	10	2,1,1,2	1
Team 399	10	1,1,2,1	1
Tel Aviv B	10	1,2,2,1	1
Tokyo A	10	1,1,2,2	1
UCC Phil A	10	2,1,1,2	1
ULV B	10	2,1,2,1	1
USDV A	10	1,2,2,1	1
UT MARA B	10	2,2,1,1	1
YNC A	10	2,2,1,1	1
Yale B	10	2,2,1,1	1
Yale C	10	2,1,2,1	1
ASAFA B	9	1,2,1,2	1
AUDS A	9	2,1,2,1	1
Aberdeen A	9	2,1,1,2	1
Amherst B	9	1,1,2,2	1
BBU A	9	1,2,1,2	1
BLCU A	9	2,1,2,1	1
Bates D	9	2,1,1,2	1
Bauman A	9	1,2,2,1	1
Berlin B	9	2,1,1,2	1
Berlin C	9	2,1,2,1	1
Brown B	9	2,2,1,1	1
CDS A	9	2,2,1,1	1
Clemson B	9	2,1,2,1	1
DRUMS B	9	1,2,2,1	1
Durham B	9	1,1,2,2	1
Durham C	9	1,2,2,1	1
HKU A	9	1,2,2,1	1
HSE A	9	1,1,2,2	1
HWS B	9	1,2,2,1	1
IBA DU A	9	2,1,2,1	1
Inner A	9	1,2,2,1	1
KOREA A	9	2,1,1,2	1
LEIDEN D	9	2,2,1,1	1
Lund B	9	2,1,1,2	1
Malaya A	9	2,1,2,1	1
McGill C	9	1,2,2,1	1
Middlebury B	9	2,1,2,1	1
NUS A	9	2,1,2,1	1
NYU LY A	9	2,1,1,2	1
RRIS B	9	1,1,2,2	1
Rosario A	9	2,1,1,2	1
SMU A	9	2,1,1,2	1
SUFE B	9	2,2,1,1	1
Stanford C	9	1,1,2,2	1
TCD Hist B	9	1,2,1,2	1
TCD Phil A	9	2,2,1,1	1
TDS A	9	2,2,1,1	1
TUCN A	9	1,1,2,2	1
Tokyo B	9	2,1,1,2	1
UAM A	9	1,2,1,2	1
UCD LawSoc B	9	2,2,1,1	1
UCT B	9	2,1,2,1	1
USU F	9	1,2,2,1	1
UVic A	9	2,2,1,1	1
UWADU B	9	1,1,2,2	1
UdeM A	9	1,1,2,2	1
VUW B	9	2,1,1,2	1
Vermont C	9	2,1,1,2	1
WSDU A	9	2,2,1,1	1
YUU A	9	2,2,1,1	1
APU A	8	2,2,1,1	1
Alaska C	8	2,2,1,1	1
Amherst A	8	1,2,1,2	1
BBU B	8	2,1,2,1	1
BDS A	8	2,1,1,2	1
BFSU A	8	1,1,2,2	1
BUET A	8	2,1,2,1	1
Berkeley A	8	1,2,1,2	1
Brawijaya A	8	2,2,1,1	1
CUHKEDT A	8	2,1,2,1	1
Clemson A	8	1,2,1,2	1
Comillas A	8	2,1,2,1	1
D U A	8	2,1,1,2	1
DCBayreuth A	8	2,1,1,2	1
DKWien C	8	2,2,1,1	1
DLSU A	8	1,2,1,2	1
E.D.S A	8	1,2,2,1	1
FDS B	8	1,2,2,1	1
GWU B	8	1,1,1,3	1
HKU B	8	2,2,1,1	1
IBA DU B	8	2,1,2,1	1
IDC A	8	1,2,2,1	1
IIUM C	8	2,1,2,1	1
Imperial A	8	2,2,1,1	1
Kyoto A	8	2,1,1,2	1
MDU A	8	1,2,1,2	1
NSU A	8	1,2,2,1	1
NUIG A	8	1,2,1,2	1
Otago B	8	1,2,2,1	1
Stanford F	8	2,2,1,1	1
Stockholm A	8	2,2,1,1	1
TKC A	8	1,1,2,2	1
Technion A	8	1,1,3,1	1
UBC A	8	2,2,1,1	1
UCL C	8	2,1,1,2	1
UChicago A	8	2,1,1,2	1
UChicago C	8	1,2,2,1	1
UFS A	8	2,1,2,1	1
ULV A	8	1,2,1,2	1
UMacau A	8	1,2,1,2	1
USMA A	8	2,1,2,1	1
UoG A	8	2,2,1,1	1
WSDU B	8	2,2,1,1	1
Warsaw B	8	1,2,2,1	1
Waseda B	8	2,1,2,1	1
Zagreb A	8	2,1,1,2	1
wdebating A	8	2,1,1,2	1
A U A	7	2,1,1,2	1
BIPEDS A	7	1,2,1,2	1
Berlin A	7	2,2,1,1	1
CUPB A	7	1,2,1,2	1
Clemson C	7	2,1,1,2	1
DCGA A	7	1,2,1,2	1
E.D.S B	7	2,1,1,2	1
HKCityU A	7	1,2,1,2	1
HKUST EDT A	7	2,1,2,1	1
HWS A	7	1,1,2,2	1
IPB A	7	2,1,2,1	1
ITB A	7	2,1,1,2	1
Indonesia B	7	1,1,2,2	1
KHDS A	7	2,1,1,2	1
Keio B	7	2,1,2,1	1
LLC A	7	1,1,2,2	1
MQU B	7	1,2,2,1	1
McGill D	7	1,2,1,2	1
