Cambridge A	15	1,1,1,2	1
Oxford C	14	0,1,2,2	1
AKL A	13	1,1,2,1	1
Harvard C	13	2,1,1,1	1
LSE B	13	1,1,1,2	1
UCD LawSoc A	13	2,1,1,1	1
UT MARA A	13	1,1,1,2	1
Bates A	12	1,1,1,2	1
Cambridge D	12	1,1,1,2	1
Durham A	12	1,1,2,1	1
Harvard A	12	1,2,1,1	1
Harvard B	12	1,2,1,1	1
IIUM B	12	2,1,1,1	1
LSE A	12	1,1,1,2	1
NLSIU A	12	2,1,1,1	1
Oxford A	12	1,2,1,1	1
Oxford B	12	2,1,1,1	1
Stanford B	12	1,1,1,2	1
UCT A	12	2,1,1,1	1
USU A	12	1,2,1,1	1
UT Sydney A	12	1,1,1,2	1
Yale A	12	1,2,1,1	1
Belgrade B	11	1,2,1,1	1
Brown A	11	1,1,1,2	1
Cornell A	11	1,2,1,1	1
Cornell B	11	1,2,1,1	1
DC Ms A	11	1,1,1,2	1
DRUMS A	11	1,2,1,1	1
GUU A	11	1,2,1,1	1
GWU A	11	2,1,1,1	1
Hart House A	11	0,1,1,3	1
IUT A	11	1,2,1,1	1
LEIDEN B	11	1,1,2,1	1
NEU A	11	1,2,1,1	1
Oxford D	11	1,2,1,1	1
QDU A	11	1,1,1,2	1
Swarthmore A	11	1,2,1,1	1
Tel Aviv A	11	2,1,1,1	1
UBC B	11	1,2,1,1	1
URDU A	11	1,2,1,1	1
USU B	11	1,1,2,1	1
USU D	11	1,1,1,2	1
USU E	11	0,2,2,1	1
UWADU A	11	1,2,1,1	1
Yale D	11	2,1,1,1	1
ANU A	10	1,1,2,1	1
Alaska B	10	1,1,2,1	1
Ateneo A	10	1,1,2,1	1
Bard A	10	1,2,1,1	1
Brandeis A	10	1,1,1,2	1
CDS B	10	1,1,2,1	1
Cambridge B	10	1,1,2,1	1
Cornell D	10	1,1,1,2	1
Duke B	10	1,1,2,1	1
EDS UGM A	10	1,2,1,1	1
Hopkins A	10	1,2,1,1	1
IIUM A	10	2,1,1,1	1
Indonesia A	10	1,2,1,1	1
Indonesia C	10	1,1,1,2	1
LEIDEN C	10	1,1,1,2	1
MAD A	10	1,1,2,1	1
Melbourne A	10	1,2,1,1	1
Melbourne B	10	1,1,2,1	1
Middlebury A	10	1,2,1,1	1
Penn A	10	2,1,1,1	1
Princeton A	10	1,1,2,1	1
Princeton C	10	1,1,2,1	1
Swarthmore B	10	1,1,2,1	1
Swarthmore C	10	1,1,1,2	1
Team 399	10	1,1,2,1	0
Tel Aviv B	10	1,1,2,1	1
UCL A	10	1,1,1,2	1
UCL B	10	2,1,1,1	1
UQDS C	10	2,1,1,1	1
USDV A	10	1,2,1,1	1
USDV B	10	1,1,2,1	1
UWODS A	10	1,1,1,2	1
VUW A	10	1,1,1,2	1
Vermont B	10	0,2,1,2	1
ASAFA B	9	1,1,1,2	1
BBU A	9	1,1,1,2	1
BINUS A	9	1,2,1,1	1
BINUS B	9	1,2,1,1	1
BPP A	9	1,2,1,1	1
Bates B	9	2,1,1,1	1
CUNY A	9	1,2,1,1	1
Duke A	9	1,2,1,1	1
EDS UGM B	9	1,1,1,2	1
Edinburgh A	9	1,1,2,1	1
GUU B	9	1,1,2,1	1
HUJI A	9	2,1,1,1	1
IITB A	9	2,1,1,1	1
Inner A	9	1,1,2,1	1
KCL A	9	1,1,2,1	1
KOREA A	9	1,1,1,2	1
MAD C	9	1,2,1,1	1
MQU A	9	1,1,1,2	1
Melbourne C	9	1,1,1,2	1
Middlebury B	9	2,1,1,1	1
Morehouse A	9	1,2,1,1	1
NUS A	9	2,1,1,1	1
NYU LY A	9	1,1,1,2	1
Otago A	9	2,1,1,1	1
PEP A	9	2,1,1,1	1
QUTDS A	9	1,1,1,2	1
SKT A	9	1,1,1,2	1
SWORDS A	9	0,2,1,2	1
Sodales A	9	1,1,1,2	1
St Andrews A	9	1,2,1,1	1
St Andrews C	9	1,1,1,2	1
Stanford A	9	2,1,1,1	1
Stanford D	9	1,1,1,2	1
Stanford E	9	1,1,1,2	1
TCD Phil B	9	1,2,1,1	1
TCWM A	9	1,1,2,1	1
Tokyo A	9	1,1,2,1	1
UADS A	9	0,2,2,1	1
UNSW B	9	2,1,1,1	1
UQDS A	9	2,1,1,1	1
UQDS B	9	2,1,1,1	1
USU C	9	1,1,1,2	1
USU F	9	1,1,2,1	1
UVic A	9	1,2,1,1	1
UWADU B	9	1,1,1,2	1
UdeM A	9	1,1,1,2	1
VUW B	9	2,1,1,1	1
Vermont A	9	1,1,2,1	1
WDU A	9	1,1,1,2	1
Warwick A	9	1,1,1,2	1
Yale B	9	2,1,1,1	1
Alaska A	8	1,2,1,1	1
Alaska C	8	2,1,1,1	1
Belgrade A	8	2,1,1,1	1
Belgrade C	8	2,1,1,1	1
Berkeley A	8	1,1,1,2	1
Cambridge C	8	1,2,1,1	1
Carleton A	8	2,1,1,1	1
Clemson A	8	1,1,1,2	1
Clemson B	8	1,1,2,1	1
Cornell C	8	1,1,2,1	1
DKWien A	8	1,1,1,2	1
DKWien B	8	2,1,1,1	1
DLSU A	8	1,1,1,2	1
FDS A	8	1,1,2,1	1
FDS B	8	1,2,1,1	1
GWU B	8	1,1,1,2	1
HUJI B	8	2,1,1,1	1
HWS B	8	1,2,1,1	1
Hart House C	8	1,1,2,1	1
Hawaii A	8	2,1,1,1	1
LEIDEN A	8	2,1,1,1	1
LSE C	8	0,2,2,1	1
Lund A	8	1,1,2,1	1
Lund B	8	1,1,1,2	1
MAD B	8	1,1,1,2	1
MAD D	8	1,1,2,1	1
MDS A	8	1,2,1,1	1
MDU A	8	1,1,1,2	1
Malaya A	8	2,1,1,1	1
McGill B	8	0,1,2,2	1
McGill C	8	1,1,2,1	1
Morehouse B	8	1,1,2,1	1
NEU B	8	1,2,1,1	1
QDU B	8	2,1,1,1	1
RRIS B	8	1,1,1,2	1
SMU A	8	2,1,1,1	1
Stanford C	8	1,1,2,1	1
Stanford F	8	1,2,1,1	1
TCD Hist A	8	1,1,2,1	1
TCD Hist B	8	1,1,1,2	1
TCD Phil A	8	2,1,1,1	1
TDS A	8	2,1,1,1	1
TDS B	8	1,1,1,2	1
TUCN A	8	1,1,2,1	1
Taylor's A	8	2,1,1,1	1
UBC A	8	1,2,1,1	1
UCC Phil A	8	2,1,1,1	1
UFS A	8	2,1,1,1	1
UNSW A	8	1,2,1,1	1
USMA A	8	1,1,2,1	1
UT MARA B	8	1,2,1,1	1
Vermont C	8	1,1,1,2	1
WSDU B	8	1,2,1,1	1
Warsaw B	8	1,2,1,1	1
ANU B	7	1,1,2,1	1
ANU C	7	1,2,1,1	1
ASAFA A	7	1,2,1,1	1
AUDS A	7	2,1,1,1	1
Aberdeen A	7	1,1,1,2	1
Amherst A	7	1,2,1,1	1
Amherst B	7	1,1,1,2	1
BFSU A	7	1,1,2,1	1
BGU A	7	1,1,1,2	1
BGU B	7	1,2,1,1	1
BIPEDS A	7	1,2,1,1	1
BLCU A	7	1,1,2,1	1
Bates C	7	1,2,1,1	1
Bauman A	7	1,2,1,1	1
Berlin A	7	2,1,1,1	1
Berlin C	7	1,1,2,1	1
Brandeis B	7	2,1,1,1	1
CDS A	7	2,1,1,1	1
Clemson C	7	2,1,1,1	1
Comillas A	7	2,1,1,1	1
DCBayreuth A	7	1,1,1,2	1
DCGA A	7	1,2,1,1	1
DKWien C	7	2,1,1,1	1
E.D.S A	7	1,1,2,1	1
HSE A	7	1,1,1,2	1
Hart House B	7	1,2,1,1	1
Imperial A	7	2,1,1,1	1
Koç A	7	1,2,1,1	1
LEIDEN D	7	1,2,1,1	1
McGill A	7	1,2,1,1	1
NSU A	7	1,1,2,1	1
NTU A	7	2,1,1,1	1
NUIG A	7	1,1,1,2	1
Princeton B	7	1,1,1,2	1
RRIS A	7	0,3,1,1	1
SUFE B	7	2,1,1,1	1
SdDUP A	7	1,1,1,2	1
Sheff B	7	1,2,1,1	1
SolBridge A	7	1,1,2,1	1
Stockholm A	7	1,2,1,1	1
Tampere A	7	1,1,2,1	1
Tec CEM A	7	1,2,1,1	1
Tilbury A	7	2,1,1,1	1
Tilbury B	7	2,1,1,1	1
UChicago A	7	2,1,1,1	1
UChicago B	7	1,1,1,2	1
UChicago C	7	1,1,2,1	1
ULV B	7	2,1,1,1	1
UMacau A	7	1,1,1,2	1
UoB A	7	1,1,2,1	1
WSDU A	7	2,1,1,1	1
Warsaw C	7	2,1,1,1	1
YNC A	7	2,1,1,1	1
YUU A	7	2,1,1,1	1
Yale C	7	2,1,1,1	1
Zagreb A	7	2,1,1,1	1
BBU B	6	1,1,2,1	1
BDS A	6	1,1,1,2	1
BRIS A	6	1,1,2,1	1
BUET A	6	2,1,1,1	1
Bates D	6	2,1,1,1	1
Berlin B	6	1,1,1,2	1
Brown B	6	2,1,1,1	1
CUHKEDT A	6	1,1,2,1	1
D U A	6	2,1,1,1	1
DRUMS B	6	1,2,1,1	1
Durham B	6	1,1,1,2	1
Durham C	6	1,2,1,1	1
FDU A	6	1,1,1,2	1
HKU A	6	1,1,2,1	1
HKUST EDT A	6	2,1,1,1	1
HKUST EDT B	6	1,2,1,1	1
